web-scraper-order,web-scraper-start-url,nom,prix,adresse,img_link-src
"1739376499-1","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Cailles","12 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1376905_uploaded_image1_1577034747.91.png"
"1739376499-2","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1322739_uploaded_image1_1576006817.07.png"
"1739376499-3","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies","60 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1311792_uploaded_image1_1575817543.97.png"
"1739376499-4","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Paon bleu","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1310387_uploaded_image1_1575790267.47.png"
"1739376499-5","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœufs","350 000CFA","Sénégal","https://images.coinafrique.com/thumb_1198114_uploaded_image1_1573729988.56.png"
"1739376499-6","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Boeuf","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1129419_uploaded_image1_1572391697.86.png"
"1739376499-7","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Mouton ladoum pure sang","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_1011139_uploaded_image1_1569950027.26.png"
"1739376499-8","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies  bourbonaises","50 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_990474_uploaded_image1_1569491306.15.png"
"1739376499-9","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Caille","1 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_931708_uploaded_image1_1568194736.45.png"
"1739376499-10","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Verrat de race Large white","200 000CFA","Sénégal","https://images.coinafrique.com/thumb_929881_uploaded_image1_1568141260.81.png"
"1739376499-11","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chèvre Balami","200 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_917895_uploaded_image1_1567801722.96.png"
"1739376499-12","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœuf","400 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_885779_uploaded_image2_1566997623.56.png"
"1739376499-13","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Poisson d'aquarium","35 000CFA","Sénégal","https://images.coinafrique.com/thumb_863425_uploaded_image1_1566425287.55.png"
"1739376499-14","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_845280_uploaded_image1_1565952077.54.png"
"1739376499-15","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Carpe Koï Japonaise ( Aquarium)","50 000CFA","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_827220_uploaded_image1_1565349629.12.png"
"1739376499-16","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_751123_uploaded_image1_1563297186.25.png"
"1739376503-17","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","425 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3012014_uploaded_image1_1616250290.jpg"
"1739376503-18","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Laor noir","35 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3005811_uploaded_image1_1615937465.jpg"
"1739376503-19","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Porc","2 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3004606_uploaded_image1_1615897391.jpg"
"1739376503-20","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2968890_uploaded_image1_1614172978.jpg"
"1739376503-21","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton Angora turque","160 000CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2966724_uploaded_image1_1614082274.jpg"
"1739376503-22","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple oie de toulouse adulte","85 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2936871_uploaded_image1_1612659734.jpg"
