web-scraper-order,web-scraper-start-url,details,prix,adresse,img_link-src
"1739370905-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Coqs et poussins","800CFA","Sénégal","https://images.coinafrique.com/thumb_886578_uploaded_image1_1567011857.49.png"
"1739370905-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","2 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_885789_uploaded_image1_1566997710.07.png"
"1739370905-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin nain noir adulte","10 000CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_878312_uploaded_image1_1566833445.3.png"
"1739370905-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Femelle GDF 4 mois","70 000CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_862099_uploaded_image1_1566396428.28.png"
"1739370905-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Race bleu d' hollande","800CFA","Sénégal","https://images.coinafrique.com/thumb_858710_uploaded_image1_1566319546.08.png"
"1739370905-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Coq et poussins bleus","15 000CFA","Sénégal","https://images.coinafrique.com/thumb_855420_uploaded_image1_1566249496.28.png"
"1739370905-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin Buchka","7 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_848961_uploaded_image1_1566052780.75.png"
"1739370905-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Coqs Brahmane","5 000CFA","Thies Ouest, Thiès, Sénégal","https://images.coinafrique.com/thumb_841858_uploaded_image1_1565838064.66.png"
"1739370905-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","2 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_798654_uploaded_image2_1564576617.9.png"
"1739370905-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins","40 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_774940_uploaded_image1_1563940703.34.png"
"1739370905-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin géant","70 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_761183_uploaded_image1_1563536095.25.png"
"1739370905-12","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins et lapereaux angora Californien","Prix sur demande","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_729715_uploaded_image1_1562719494.94.png"
"1739370905-13","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","3 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_729710_uploaded_image1_1562719384.82.png"
"1739370905-14","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins et lapereaux Angora Californien","Prix sur demande","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_729692_uploaded_image1_1562719154.82.png"
"1739370908-15","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulets","2 400CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1963033_uploaded_image1_1587140018.16.jpeg"
"1739370908-16","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulets","2 400CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1963021_uploaded_image1_1587139946.35.jpeg"
"1739370908-17","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulets de chairs","2 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1934126_uploaded_image1_1586708547.66.png"
"1739370908-18","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulets","2 750CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1918730_uploaded_image1_1586442251.23.png"
"1739370908-19","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1913175_uploaded_image1_1586355015.48.png"
"1739370908-20","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Orpington","30 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1913036_uploaded_image1_1586352896.21.png"
"1739370908-21","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet","3 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1907954_uploaded_image1_1586270049.67.png"
"1739370908-22","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Coq Orpitone","30 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890489_uploaded_image1_1585937996.82.png"
"1739370908-23","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons King","35 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890193_uploaded_image1_1585934383.75.png"
"1739370908-24","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons Laor","40 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890181_uploaded_image1_1585934252.04.png"
"1739370908-25","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons","30 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890093_uploaded_image1_1585933267.84.png"
"1739370908-26","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon paon","40 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890068_uploaded_image1_1585932988.65.png"
"1739370908-27","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet de chair","2 500CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1888745_uploaded_image1_1585919292.3.png"
"1739370908-28","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons Mondain / boulan","Prix sur demande","Louga, Sénégal","https://images.coinafrique.com/thumb_1856511_uploaded_image1_1585321343.73.png"
"1739370908-29","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet de chair","3 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_1842198_uploaded_image1_1585068914.59.png"
"1739370908-30","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon voyageur","13 000CFA","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1831100_uploaded_image1_1584866055.19.png"
"1739370908-31","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon voyageur","13 000CFA","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1831098_uploaded_image1_1584866026.02.png"
"1739370908-32","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Cop Brahma","40 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1812172_uploaded_image1_1584528622.9.png"
"1739370908-33","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet de chair","2 700CFA","Sénégal","https://images.coinafrique.com/thumb_1804847_uploaded_image1_1584408926.38.png"
"1739370908-34","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Paon indien","30 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1804679_uploaded_image1_1584402291.56.png"
"1739370908-35","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon texan - Paon indien","60 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1804522_uploaded_image1_1584398352.13.png"
"1739370908-36","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon texan paon indien","60 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1804515_uploaded_image1_1584398280.63.png"
"1739370908-37","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Mâle bantam","20 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1773437_uploaded_image1_1583858452.61.png"
"1739370908-38","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin Angora","25 000CFA","Thies Nord, Thiès, Sénégal","https://images.coinafrique.com/thumb_1732205_uploaded_image1_1583152160.0.png"
"1739370908-39","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Coq","25 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1723625_uploaded_image1_1582972350.31.png"
"1739370908-40","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussin Orpington","5 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1716103_uploaded_image1_1582837127.36.png"
"1739370908-41","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons","65 000CFA","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1712742_uploaded_image1_1582798028.37.png"
"1739370908-42","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Coq Orpington Fauve","35 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_1699722_uploaded_image1_1582581938.31.png"
"1739370908-43","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Paon","250 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1691196_uploaded_image1_1582420837.2.png"
"1739370908-44","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin métissé","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1687460_uploaded_image1_1582336381.54.png"
"1739370908-45","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Blond Panoramin","40 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_1654385_uploaded_image1_1581775358.47.png"
"1739370908-46","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poule","55 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1645136_uploaded_image1_1581608040.8.png"
